"Sovereignt","Surveillance_score","Total_population","DCZ_pop_risk_mean","DCZ_pop_risk_lower","DCZ_pop_risk_upper","YF_pop_risk_mean","YF_pop_risk_lower","YF_pop_risk_upper"
"Saint Kitts and Nevis",0.795,0.034,0.003,0.003,0.003,0,0,0
"Saint Lucia",0.829,0.127,0.012,0.012,0.012,0,0,0
"Saint Vincent and the Grenadines",0.557,0.045,0.003,0.003,0.003,0,0,0
"Samoa",0.561,0.132,0.011,0.011,0.011,0,0,0
"San Marino",0.951,0.026,0.003,0.003,0.003,0,0,0
"Sao Tome and Principe",0.619,0.174,0.014,0.014,0.014,0,0,0
"Saudi Arabia",0.687,34.119,2.875,2.866,2.886,0,0,0
"Senegal",0.686,16.551,1.6,1.597,1.602,1.587,1.585,1.59
"Serbia",0.65,6.772,0.214,0.213,0.224,0,0,0
"Seychelles",0.435,0.029,0.001,0.001,0.001,0,0,0
"Sierra Leone",0.614,7.311,0.711,0.711,0.711,0.711,0.711,0.711
"Singapore",0.864,5.012,0.456,0.456,0.456,0,0,0
"Slovakia",0.794,5.415,0.06,0.059,0.065,0,0,0
"Slovenia",0.761,2.099,0.064,0.062,0.065,0,0,0
"Solomon Islands",0.332,0.345,0.03,0.03,0.03,0,0,0
"Somalia",0.553,8.292,0.749,0.746,0.752,0.714,0.709,0.718
"South Africa",0.761,56.69,5.159,5.15,5.169,4.305,4.286,4.33
"South Sudan",0.4,11.497,0.972,0.967,0.977,1.139,1.137,1.14
"Spain",0.768,43.723,3.232,3.211,3.253,0,0,0
"Sri Lanka",0.879,21.13,2.072,2.072,2.072,0,0,0
"Sudan",0.497,47.834,4.139,4.11,4.162,3.999,3.983,4.018
"Suriname",0.785,0.613,0.061,0.061,0.061,0.061,0.061,0.061
"Sweden",0.596,9.602,0,0,0,0,0,0
"Switzerland",0.797,8.549,0.154,0.153,0.156,0,0,0
"Syrian Arab Republic",0.608,20.973,1.265,1.241,1.285,0,0,0
"Tajikistan",0.6,9.139,0.511,0.505,0.516,0,0,0
"Thailand",0.787,68.356,6.776,6.775,6.777,0,0,0
"Timor-Leste",0.738,1.328,0.13,0.13,0.13,0,0,0
"Togo",0.692,8.385,0.795,0.794,0.796,0.806,0.806,0.806
"Tonga",0.634,0.052,0.005,0.005,0.005,0,0,0
"Trinidad and Tobago",0.922,1.26,0.122,0.122,0.122,0.122,0.122,0.122
"Tunisia",0.772,10.869,0.75,0.745,0.753,0,0,0
"Turkmenistan",0.5,5.606,0.163,0.16,0.166,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0
"Turkiye",0.586,72.599,4.314,4.275,4.349,0,0,0
"Uganda",0.811,46.225,4.578,4.577,4.58,4.515,4.513,4.519
"Ukraine",0.62,40.063,0.748,0.732,0.76,0,0,0
"United Arab Emirates",0.666,8.181,0.681,0.68,0.684,0,0,0
"United Kingdom of Great Britain and Northern Ireland",0.919,63.839,0.006,0.006,0.006,0,0,0
"United Republic of Tanzania",0.361,61.272,4.956,4.916,4.997,4.304,4.252,4.356
"United States of America",0.935,329.551,15.629,15.48,15.774,0,0,0
"Uruguay",0.692,3.122,0.286,0.286,0.287,0.276,0.276,0.276
"Uzbekistan",0.468,31.109,1.399,1.385,1.423,0,0,0
"Vanuatu",0.455,0.185,0.015,0.015,0.015,0,0,0
"Venezuela (Bolivarian Republic of)",0.892,27.592,2.732,2.732,2.733,2.743,2.743,2.743
"Viet Nam",0.915,100.058,9.874,9.873,9.877,0,0,0
"Yemen",0.618,30.413,2.953,2.948,2.959,0,0,0
"Zambia",0.485,19.549,1.268,1.252,1.282,1.077,1.061,1.091
"Zimbabwe",0.484,15.011,1.002,0.992,1.012,0.702,0.694,0.711
