"Sovereignt","Surveillance_score","Total_population","DCZ_pop_risk_mean","DCZ_pop_risk_lower","DCZ_pop_risk_upper","YF_pop_risk_mean","YF_pop_risk_lower","YF_pop_risk_upper"
"Myanmar",0.529,55.745,51.18,51.08,51.298,0,0,0
"Namibia",0.531,2.734,2.315,2.308,2.323,0.033,0.033,0.033
"Nauru",0.737,0.004,0.004,0.004,0.004,0,0,0
"Nepal",0.727,32.012,31.271,31.271,31.283,0,0,0
"Netherlands",0.796,17.222,0.184,0.184,0.184,0,0,0
"New Zealand",0.731,4.231,0.571,0.571,0.571,0,0,0
"Nicaragua",0.718,6.159,6.098,6.096,6.099,0,0,0
"Niger",0.258,24.461,19.485,19.219,19.759,18.94,18.451,19.436
"Nigeria",0.639,221.993,217.232,216.959,217.574,216.808,216.395,217.087
"North Macedonia",0.84,2.141,1.06,1.06,1.095,0,0,0
"Norway",0.499,4.402,0,0,0,0,0,0
"Oman",0.716,3.423,2.882,2.876,2.893,0,0,0
"Pakistan",0.743,241.241,233.918,233.841,234.019,0,0,0
"Palau",0.138,0.007,0.001,0.001,0.001,0,0,0
"Panama",0.846,4.054,3.78,3.78,3.78,3.763,3.763,3.763
"Papua New Guinea",0.3,8.388,7.22,7.217,7.222,0,0,0
"Paraguay",0.825,7.246,7.243,7.243,7.244,7.201,7.2,7.202
"Peru",0.842,30.863,23.461,23.447,23.477,27.111,27.03,27.205
"Philippines",0.9,99.661,94.155,94.155,94.156,0,0,0
"Poland",0.571,38.07,1.464,1.429,1.498,0,0,0
"Portugal",0.749,9.418,7.826,7.802,7.851,0,0,0
"Qatar",0.86,2.21,2.082,2.082,2.083,0,0,0
"Republic of Korea",0.913,48.009,41.334,41.228,41.488,0,0,0
"Republic of Moldova",0.705,3.264,0.512,0.512,0.536,0,0,0
"Romania",0.665,18.458,4.264,4.236,4.295,0,0,0
"Russian Federation",0.683,142.165,8.954,8.752,9.593,0,0,0
"Rwanda",0.712,13.253,12.798,12.798,12.798,12.778,12.684,12.864
"Saint Kitts and Nevis",0.808,0.034,0.028,0.028,0.028,0,0,0
"Saint Lucia",0.849,0.127,0.114,0.114,0.114,0,0,0
"Saint Vincent and the Grenadines",0.562,0.045,0.028,0.028,0.028,0,0,0
"Samoa",0.601,0.132,0.105,0.105,0.105,0,0,0
"San Marino",0.959,0.026,0.025,0.025,0.025,0,0,0
"Sao Tome and Principe",0.601,0.174,0.118,0.118,0.118,0,0,0
"Saudi Arabia",0.677,34.119,28.631,28.505,28.737,0,0,0
"Senegal",0.65,16.551,15.985,15.963,16.008,15.867,15.84,15.897
"Serbia",0.664,8.719,2.797,2.741,2.874,0,0,0
"Seychelles",0.429,0.029,0.015,0.015,0.015,0,0,0
"Sierra Leone",0.624,7.311,7.105,7.105,7.105,7.105,7.105,7.105
"Singapore",0.861,5.012,4.377,4.377,4.377,0,0,0
"Slovakia",0.826,5.415,0.622,0.587,0.646,0,0,0
"Slovenia",0.579,2.099,0.649,0.636,0.667,0,0,0
"Solomon Islands",0.265,0.345,0.214,0.214,0.214,0,0,0
"Somalia",0.49,11.76,10.885,10.856,10.916,9.669,9.611,9.727
"South Africa",0.752,56.69,51.213,51.143,51.319,42.834,42.636,43.036
"South Sudan",0.375,11.497,9.73,9.682,9.782,11.39,11.371,11.4
"Spain",0.768,43.723,31.524,31.323,31.728,0,0,0
"Sri Lanka",0.86,21.13,20.454,20.454,20.454,0,0,0
"Sudan",0.455,47.834,41.306,41.041,41.561,40.051,39.865,40.209
"Suriname",0.83,0.613,0.609,0.608,0.609,0.609,0.609,0.609
"Sweden",0.55,9.602,0,0,0,0,0,0
"Switzerland",0.848,8.549,1.547,1.53,1.559,0,0,0
"Syrian Arab Republic",0.669,20.973,12.65,12.442,12.846,0,0,0
"Tajikistan",0.635,9.139,5.101,5.078,5.172,0,0,0
"Thailand",0.779,68.356,67.65,67.639,67.664,0,0,0
"Timor-Leste",0.629,1.328,1.292,1.292,1.292,0,0,0
"Togo",0.628,8.385,7.898,7.888,7.907,8.009,8.009,8.009
"Tonga",0.669,0.052,0.039,0.039,0.039,0,0,0
"Trinidad and Tobago",0.935,1.26,1.22,1.22,1.22,1.22,1.22,1.22
"Tunisia",0.795,10.869,7.357,7.313,7.375,0,0,0
"Turkmenistan",0.525,5.606,1.654,1.645,1.681,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0
"Turkiye",0.557,72.599,42.708,42.371,43.07,0,0,0
"Uganda",0.667,46.225,45.783,45.77,45.807,45.158,45.131,45.205
"Ukraine",0.549,40.063,7.376,7.16,7.568,0,0,0
"United Arab Emirates",0.7,8.181,6.652,6.625,6.67,0,0,0
"United Kingdom of Great Britain and Northern Ireland",0.919,63.839,0.049,0.049,0.049,0,0,0
"United Republic of Tanzania",0.285,61.272,49.25,48.868,49.598,42.682,42.122,43.128
"United States of America",0.935,329.551,155.394,153.881,156.848,0,0,0
"Uruguay",0.725,3.122,2.69,2.686,2.694,2.587,2.584,2.588
"Uzbekistan",0.478,31.109,14.154,13.936,14.35,0,0,0
"Vanuatu",0.424,0.185,0.12,0.12,0.12,0,0,0
"Venezuela (Bolivarian Republic of)",0.872,27.592,27.261,27.26,27.262,27.388,27.387,27.39
"Viet Nam",0.911,100.058,98.396,98.369,98.412,0,0,0
"Yemen",0.643,30.413,29.444,29.394,29.51,0,0,0
"Zambia",0.412,19.549,12.744,12.586,12.914,10.592,10.462,10.733
"Zimbabwe",0.474,15.011,10.067,9.979,10.169,7.019,6.941,7.097
