"Longitude","Latitude","Admin","Year","disease"
4.31,7.9,-999,1987,"yf"
3.78,7.47,-999,1987,"yf"
4.18,8.08,-999,1987,"yf"
3.93,7.38,-999,1987,"yf"
4.73,7.61,-999,1987,"yf"
3.83,8.88,-999,1987,"yf"
3.4,8.65,-999,1987,"yf"
6.02,10.13,-999,1987,"yf"
4.13,8.75,-999,1987,"yf"
4.56,7.46,-999,1987,"yf"
4.58,7.83,-999,1987,"yf"
3.75,7.33,-999,1987,"yf"
4.18,7.35,-999,1987,"yf"
3.89,7.38,-999,1987,"yf"
3.58,7.95,-999,1987,"yf"
-53.76,-20.45,-999,1987,"yf"
-13.03,10.9,-999,2001,"yf"
-12.85,10.06,-999,2001,"yf"
-12.4,11.08,-999,2001,"yf"
-12.63,9.86,-999,2001,"yf"
-11.68,11.45,-999,2001,"yf"
-13.2,11.75,-999,2001,"yf"
-12.3,12.08,-999,2001,"yf"
-12.28,11.31,-999,2001,"yf"
-12.25,10.7,-999,2001,"yf"
-11.11,10.75,-999,2001,"yf"
-9.01,9.26,-999,2001,"yf"
-9.3,10.38,-999,2001,"yf"
-10.73,10.03,-999,2001,"yf"
-11.9,11.58,-999,2001,"yf"
-50.12,-15.95,-999,1973,"yf"
-48.62,-16.65,-999,1973,"yf"
-47.22,-15.02,-999,1973,"yf"
-49.35,-17.28,-999,1973,"yf"
-49.57,-15.35,-999,1973,"yf"
-48.28,-17.32,-999,1973,"yf"
-50.85,-15.88,-999,1973,"yf"
-48.15,-17.73,-999,1973,"yf"
-49.18,-16.98,-999,1973,"yf"
-48.97,-15.78,-999,1973,"yf"
-51.83,-16.65,-999,1973,"yf"
-49.3,-15.75,-999,1973,"yf"
-52.55,-17.57,-999,1973,"yf"
-51.92,-18.25,-999,1973,"yf"
-47.9,-18.2,-999,1973,"yf"
-49.92,-15.73,-999,1973,"yf"
-46.32,-14.05,-999,1973,"yf"
-48.45,-14.45,-999,1973,"yf"
-51.75,-17.97,-999,1973,"yf"
-48.97,-16.32,-999,1973,"yf"
-49.1,-14.63,-999,1973,"yf"
-50.6,-15.87,-999,1973,"yf"
-47.62,-16.72,-999,1973,"yf"
-49.25,-18.42,-999,1973,"yf"
-48.98,-16.97,-999,1973,"yf"
-49.5,-16.47,-999,1973,"yf"
-49.52,-16.38,-999,1973,"yf"
-49.88,-17.37,-999,1973,"yf"
-51.12,-16.42,-999,1973,"yf"
-52.25,-15.92,-999,1973,"yf"
-47.95,-16.27,-999,1973,"yf"
-49.03,-15.35,-999,1973,"yf"
-49.28,-16.13,-999,1973,"yf"
-50.53,-18.97,-999,1973,"yf"
35.8,0.36,-999,1993,"yf"
35.78,0.38,-999,1993,"yf"
35.55,0.57,-999,1993,"yf"
35.73,0.37,-999,1993,"yf"
35.88,0.15,-999,1993,"yf"
-14.68,14.36,-999,1995,"yf"
-14.75,14.41,-999,1995,"yf"
-14.8,14.41,-999,1995,"yf"
-14.88,14.41,-999,1995,"yf"
-14.93,14.28,-999,1995,"yf"
-15.51,13.95,-999,1996,"yf"
-15.43,14.11,-999,1996,"yf"
-15.55,13.93,-999,1996,"yf"
-15.58,14.13,-999,1996,"yf"
-15.58,14.06,-999,1996,"yf"
-63.16,-17.8,-999,1998,"yf"
-50.73,-20.03,-999,2000,"yf"
-47.66,-15.61,-999,2000,"yf"
-49.95,-0.98,-999,2000,"yf"
-48.7,-20.13,-999,2000,"yf"
-60.61,-3.3,-999,2000,"yf"
-44.46,-13.83,-999,2000,"yf"
-44.36,-6.36,-999,1994,"yf"
-44.08,-6.6,-999,1994,"yf"
-45.25,-5.5,-999,1994,"yf"
-44.88,-4.88,-999,1994,"yf"
-49.29,-8.24,-999,1999,"yf"
-56.01,-4.21,-999,1999,"yf"
-55.51,-1.9,-999,1999,"yf"
-49.71,-8.87,-999,1999,"yf"
-51.65,-1.41,-999,1999,"yf"
-50.38,-0.16,-999,1999,"yf"
-3.62,7.19,-999,1993,"yf"
-7.48,6.54,-999,2001,"yf"
-6.28,6.48,-999,2001,"yf"
-5.66,5.83,-999,2001,"yf"
-5.36,5.83,-999,2001,"yf"
-6.45,6.87,-999,2001,"yf"
-7.25,6.66,-999,2001,"yf"
-5.93,6.31,-999,2001,"yf"
-8.2,6.91,-999,2001,"yf"
-3.45,10.13,-999,1999,"yf"
-4.58,8.01,-999,1977,"yf"
-5.25,6.55,-999,1977,"yf"
-4.51,8.45,-999,1977,"yf"
-4.49,7.9,-999,1977,"yf"
-4.52,7.89,-999,1977,"yf"
-4.44,7.85,-999,1977,"yf"
-8.07,12.74,-999,1987,"yf"
-50.58,-0.91,-999,1987,"yf"
11.84,-4.79,-999,NA,"yf"
-60.86,2.41,-999,1993,"yf"
-51.91,-2.58,-999,1984,"yf"
-48.15,-2.41,-999,1979,"yf"
-12.3,9.33,-999,1972,"yf"
-10.68,7.98,-999,1972,"yf"
-11.36,9.53,-999,1972,"yf"
-11.83,8.76,-999,1972,"yf"
-11.93,7.71,-999,1972,"yf"
-11.73,9.68,-999,1972,"yf"
-11.7,8.45,-999,1972,"yf"
-10.97,7.67,-999,1972,"yf"
-13.23,8.49,-999,1972,"yf"
-1.07,11.66,-999,1983,"yf"
-0.36,11.78,-999,1983,"yf"
0.06,11.65,-999,1983,"yf"
-12.32,12.13,-999,2001,"yf"
-13.52,9.79,-999,2001,"yf"
-11.8,11.48,-999,2001,"yf"
-12.2,10.45,-999,2001,"yf"
-13.72,9.52,-999,2001,"yf"
-7.45,5.86,-999,1993,"yf"
